Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
nextvideo;7;90;0.00;0.00;100.00;0.00;29400000;0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1767711077
video nextjs;18;110;0.00;0.33;0.00;0.00;19800000;0.00,0.00,1.00,0.00,0.00,0.36,0.00,0.00,0.00,0.44,0.15,0.00;;1771100930
nextjs video;20;90;0.00;0.00;0.00;0.00;20600000;0.82,0.64,0.52,0.11,0.29,0.64,1.00,0.52,0.17,0.52,0.82,0.00;;1770929125
next-video;21;320;0.00;0.00;0.00;0.00;8330000000;0.20,0.11,0.07,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771320472
next js video;14;110;0.00;0.01;0.00;0.00;605000000;0.42,0.34,0.53,0.42,0.53,0.34,0.26,0.34,0.34,0.42,0.34,0.26;;1767722345
