Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
codex-mini-latest;27;720;0.00;0.00;50.00;0.00;17900000;1.00,0.82,0.00,0.00,0.00,0.00,0.00;;1770005489
codex-mini;17;480;0.00;0.02;50.00;0.00;29100000;1.00,0.00,0.00,0.00,0.00;;1767195541
codex mini;19;70;0.00;0.02;0.00;0.00;31300000;0.00,0.00,0.00,0.00,0.00,0.42,0.65,1.00,0.07,0.07,0.00,0.80;;1771931284
