Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
uncaught referenceerror sharedarraybuffer is not defined;2;50;0.00;0.33;100.00;0.00;946;0.64,1.00,0.52,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1769618562
sharedarraybuffer;13;170;0.00;0.00;0.00;0.00;89200;0.28,0.35,0.28,0.35,0.35,0.28,0.18,0.35,0.28,0.23,0.35,0.18;;1771032546
